           1  0.80000000000000004     
           2  0.15999999999999998     
           3  0.13439999999999999     
           4  0.11633663999999999     
           5  0.10280242619351039     
           6   9.2234087362238232E-002
           7   8.3726960490693239E-002
           8   7.6716756577683134E-002
           9   7.0831295837883640E-002
          10   6.5814223367809843E-002
          11   6.1482711370301875E-002
          12   5.7702587572858025E-002
          13   5.4372998960254673E-002
          14   5.1416575944322813E-002
          15   4.8772911662484500E-002
          16   4.6394114750447982E-002
          17   4.4241700866970247E-002
          18   4.2284372771367776E-002
          19   4.0496404590699787E-002
          20   3.8856445805926135E-002
          21   3.7346622425257256E-002
          22   3.5951852218682530E-002
          23   3.4659316540728541E-002
          24   3.3458048317658126E-002
          25   3.2338607320431381E-002
          26   3.1292821797006320E-002
          27   3.0313581100987128E-002
          28   2.9394667901821003E-002
          29   2.8530621400762658E-002
          30   2.7716625043249000E-002
          31   2.6948413739460941E-002
          32   2.6222196736387777E-002
          33   2.5534593134705949E-002
          34   2.4882577688150977E-002
          35   2.4263435015744107E-002
          36   2.3674720736980868E-002
          37   2.3114228335006835E-002
          38   2.2579960783484003E-002
          39   2.2070106154500328E-002
          40   2.1583016568829414E-002
          41   2.1117189964619049E-002
          42   2.0671254252617240E-002
          43   2.0243953500240892E-002
          44   1.9834135846920977E-002
          45   1.9440742902126863E-002
          46   1.9062800417540268E-002
          47   1.8699410057781293E-002
          48   1.8349742121272241E-002
          49   1.8013029085355049E-002
          50   1.7688559868525203E-002
          51   1.7375674718302803E-002
          52   1.7073760646386535E-002
          53   1.6782247343776438E-002
          54   1.6500603517868747E-002
          55   1.6228333601414846E-002
          56   1.5964974789936037E-002
          57   1.5710094369892742E-002
          58   1.5463287304781807E-002
          59   1.5224174050511579E-002
          60   1.4992398574991309E-002
          61   1.4767626559959907E-002
          62   1.4549543765745474E-002
          63   1.4337854541954131E-002
          64   1.4132280469087898E-002
          65   1.3932559117830935E-002
          66   1.3738442914259080E-002
          67   1.3549698100550725E-002
          68   1.3366103781934657E-002
          69   1.3187451051625209E-002
          70   1.3013542186386198E-002
          71   1.2844189906149345E-002
          72   1.2679216691804118E-002
          73   1.2518454155886392E-002
          74   1.2361742461433364E-002
          75   1.2208929784750558E-002
          76   1.2059871818261590E-002
          77   1.1914431309988689E-002
          78   1.1772477636548250E-002
          79   1.1633886406845222E-002
          80   1.1498539093917844E-002
          81   1.1366322692623488E-002
          82   1.1237129401070640E-002
          83   1.1110856323894233E-002
          84   1.0987405195644014E-002
          85   1.0866682122710749E-002
          86   1.0748597342354707E-002
          87   1.0633064997526634E-002
          88   1.0520002926285008E-002
          89   1.0409332464715962E-002
          90   1.0300978262354972E-002
          91   1.0194868109193463E-002
          92   1.0090932773429612E-002
          93   9.9891058491917359E-003
          94   9.8893236135253783E-003
          95   9.7915248919923474E-003
          96   9.6956509322818421E-003
          97   9.6016452852811848E-003
          98   9.5094536930968223E-003
          99   9.4190239835556695E-003
         100   9.3303059707528727E-003
