#n       log(n!)      ceil(log2(n!))
 2  0.69314718055994529     1
 3   1.7917594692280550     3
 4   3.1780538303479453     5
 5   4.7874917427820458     7
 6   6.5792512120101012    10
 7   8.5251613610654147    13
 8   10.604602902745251    16
 9   12.801827480081471    19
10   15.104412573075518    22
11   17.502307845873887    26
12   19.987214495661888    29
13   22.552163853123425    33
14   25.191221182738683    37
15   27.899271383840894    41
16   30.671860106080675    45
17   33.505073450136891    49
18   36.395445208033053    53
19   39.339884187199495    57
20   42.335616460753485    62
21   45.380138898476908    66
22   48.471181351835227    70
23   51.606675567764377    75
24   54.784729398112326    80
25   58.003605222980525    84
26   61.261701761002008    89
27   64.557538627006338    94
28   67.889743137181540    98
29   71.257038967168015   103
30   74.658236348830172   108
